t,single,double,single,double
0.00000011,0.013320163,0.014110677,0.01917,0.023122489
0.00000011,0.013320163,0.012529649,0.015217,0.023122489
0.00000011,0.010948621,0.011739135,0.011265,0.019169927
0.00000011,0.010948621,0.011739135,0.015217,0.019169927
0.000000111,0.010158107,0.010948621,0.007312,0.015217364
0.000000111,0.008577079,0.008577079,0.007312,0.023122489
0.000000111,0.007786565,0.007786565,0.007312,0.019169927
0.000000111,0.006205536,0.009367593,0.007312,0.019169927
0.000000111,0.007786565,0.008577079,0.007312,0.019169927
0.000000112,0.007786565,0.008577079,0.007312,0.015217364
0.000000112,0.006996051,0.009367593,0.007312,0.031027645
0.000000112,0.006205536,0.008577079,0.007312,0.12984186
0.000000112,0.006996051,0.006996051,0.00336,0.24841896
0.000000112,0.007786565,0.006996051,0.00336,0.30770749
0.000000113,0.006205536,0.006996051,0.011265,0.30375493
0.000000113,0.006996051,0.007786565,0.00336,0.25237152
0.000000113,0.006996051,0.007786565,0.007312,0.20889325
0.000000113,0.005415022,0.008577079,0.011265,0.17332014
0.000000113,0.006205536,0.008577079,0.007312,0.13774702
0.000000114,0.006205536,0.006205536,0.00336,0.11798418
0.000000114,0.005415022,0.006996051,-0.00455,0.094268739
0.000000114,0.006996051,0.008577079,-0.00455,0.078458458
0.000000114,0.006996051,0.007786565,-0.00059,0.062648207
0.000000114,0.006205536,0.006996051,-0.00059,0.050790489
0.000000115,0.005415022,0.005415022,-0.00455,0.046837926
0.000000115,0.004624508,0.005415022,0.00336,0.03893277
0.000000115,0.004624508,0.006205536,0.00336,0.031027645
0.000000115,0.003833994,0.005415022,0.00336,0.023122489
0.000000115,0.003833994,0.005415022,0.007312,0.027075082
0.000000116,0.004624508,0.004624508,0.007312,0.027075082
0.000000116,0.004624508,0.004624508,0.007312,0.023122489
0.000000116,0.005415022,0.005415022,0.007312,0.023122489
0.000000116,0.004624508,0.006205536,0.00336,0.023122489
0.000000116,0.005415022,0.004624508,0.007312,0.023122489
0.000000117,0.006205536,0.006205536,0.007312,0.019169927
0.000000117,0.005415022,0.007786565,0.00336,0.023122489
0.000000117,0.006205536,0.006205536,0.00336,0.011264801
0.000000117,0.006996051,0.007786565,0.007312,0.015217364
0.000000117,0.006205536,0.006205536,-0.00059,0.015217364
0.000000118,0.006205536,0.006996051,0.011265,0.019169927
0.000000118,0.007786565,0.006996051,0.090316,0.042885333
0.000000118,0.006205536,0.005415022,0.232609,0.16541499
0.000000118,0.006205536,0.005415022,0.319565,0.28399208
0.000000118,0.005415022,0.006996051,0.319565,0.32747033
0.000000119,0.011739135,0.015691705,0.248419,0.30375493
0.000000119,0.046521742,0.055217396,0.204941,0.24051382
0.000000119,0.080513835,0.091581032,0.165415,0.20098811
0.000000119,0.097905144,0.10343874,0.121937,0.15750986
0.000000119,0.08920949,0.090000004,0.110079,0.12984186
0.00000012,0.07023716,0.073399216,0.090316,0.11403158
0.00000012,0.060750991,0.063122533,0.070553,0.090316176
0.00000012,0.046521742,0.046521742,0.058696,0.074505895
0.00000012,0.037035577,0.039407119,0.046838,0.062648207
0.00000012,0.033873521,0.035454549,0.038933,0.054743052
0.000000121,0.026758894,0.027549412,0.031028,0.046837926
0.000000121,0.02438736,0.025177874,0.027075,0.03893277
0.000000121,0.020434789,0.022015817,0.01917,0.031027645
0.000000121,0.017272733,0.018063247,0.01917,0.034980208
0.000000121,0.016482219,0.016482219,0.015217,0.027075082
0.000000122,0.015691705,0.015691705,0.015217,0.027075082
0.000000122,0.012529649,0.011739135,0.011265,0.023122489
0.000000122,0.012529649,0.010948621,0.015217,0.027075082
0.000000122,0.010948621,0.010158107,0.00336,0.023122489
0.000000122,0.008577079,0.009367593,0.007312,0.023122489
0.000000123,0.008577079,0.009367593,0.011265,0.019169927
0.000000123,0.008577079,0.007786565,0.007312,0.023122489
0.000000123,0.010158107,0.008577079,0.015217,0.023122489
0.000000123,0.008577079,0.008577079,0.00336,0.023122489
0.000000123,0.007786565,0.007786565,0.00336,0.015217364
0.000000124,0.007786565,0.006996051,0.007312,0.031027645
0.000000124,0.006996051,0.007786565,0.007312,0.12193674
0.000000124,0.008577079,0.009367593,0.007312,0.24051382
0.000000124,0.006205536,0.007786565,0.007312,0.31166005
0.000000124,0.006205536,0.008577079,0.007312,0.30770749
0.000000125,0.007786565,0.007786565,0.007312,0.26422924
0.000000125,0.006996051,0.007786565,0.007312,0.21679839
0.000000125,0.005415022,0.008577079,0.007312,0.17332014
0.000000125,0.006205536,0.007786565,0.00336,0.14169958
0.000000125,0.006205536,0.007786565,0.007312,0.11798418
0.000000126,0.006205536,0.007786565,-0.00059,0.098221332
0.000000126,0.007786565,0.008577079,-0.00059,0.074505895
0.000000126,0.008577079,0.007786565,-0.00059,0.06660077
0.000000126,0.006205536,0.008577079,0.011265,0.058695614
0.000000126,0.004624508,0.006205536,-0.00059,0.050790489
0.000000127,0.005415022,0.006205536,0.00336,0.042885333
0.000000127,0.004624508,0.006205536,-0.00059,0.031027645
0.000000127,0.006205536,0.004624508,-0.00059,0.031027645
0.000000127,0.003833994,0.005415022,0.00336,0.023122489
0.000000127,0.004624508,0.004624508,0.007312,0.027075082
0.000000128,0.005415022,0.004624508,0.007312,0.027075082
0.000000128,0.004624508,0.005415022,0.00336,0.023122489
0.000000128,0.006205536,0.004624508,0.007312,0.019169927
0.000000128,0.004624508,0.005415022,0.00336,0.023122489
0.000000128,0.005415022,0.005415022,0.007312,0.027075082
0.000000129,0.006205536,0.006205536,-0.00059,0.023122489
0.000000129,0.005415022,0.006996051,0.00336,0.019169927
0.000000129,0.006205536,0.006205536,0.007312,0.015217364
0.000000129,0.006996051,0.006996051,0.00336,0.023122489
0.000000129,0.006205536,0.006996051,0.007312,0.023122489
0.00000013,0.005415022,0.006996051,0.086364,0.03893277
0.00000013,0.005415022,0.007786565,0.224704,0.1535573
0.00000013,0.005415022,0.006996051,0.31166,0.27213436
0.00000013,0.006205536,0.006205536,0.323518,0.33142292
0.00000013,0.010948621,0.014110677,0.248419,0.30375493
0.000000131,0.043359689,0.052845854,0.204941,0.24841896
0.000000131,0.080513835,0.087628461,0.161462,0.20494069
