t,ch1,ch2
1.24E-06,-0.38498023,0.007114625
1.24E-06,-0.38498023,0.007114625
1.24E-06,-0.54308301,0.007114625
1.24E-06,-0.70118576,0.007114625
1.24E-06,-0.38498023,0.007114625
1.24E-06,-0.22687747,0.007114625
1.24E-06,-0.54308301,0.030830039
1.24E-06,-0.54308301,0.015019763
1.24E-06,-0.38498023,0.007114625
1.24E-06,-0.38498023,0.007114625
1.25E-06,-0.54308301,0.007114625
1.25E-06,-0.38498023,0.015019763
1.25E-06,-0.54308301,0.007114625
1.25E-06,-0.54308301,0.007114625
1.25E-06,-0.38498023,0.015019763
1.25E-06,-0.22687747,0.015019763
1.25E-06,-0.38498023,0.015019763
1.25E-06,-0.54308301,0.007114625
1.25E-06,-0.38498023,0.022924902
1.25E-06,-0.38498023,0.007114625
1.26E-06,-0.38498023,0.007114625
1.26E-06,-0.54308301,0.007114625
1.26E-06,-0.22687747,0.022924902
1.26E-06,-0.22687747,0.015019763
1.26E-06,-0.54308301,-0.000790514
1.26E-06,-0.38498023,0.007114625
1.26E-06,-0.22687747,0.022924902
1.26E-06,-0.38498023,0.022924902
1.26E-06,-0.38498023,0.015019763
1.26E-06,-0.70118576,0.038735177
1.27E-06,-0.22687747,0.022924902
1.27E-06,-0.22687747,0.015019763
1.27E-06,-0.54308301,0.015019763
1.27E-06,-0.22687747,0.022924902
1.27E-06,-0.54308301,-0.000790514
1.27E-06,-0.22687747,0.015019763
1.27E-06,-0.54308301,0.015019763
1.27E-06,-0.54308301,0.015019763
1.27E-06,-0.22687747,0.022924902
1.27E-06,-0.38498023,0.022924902
1.28E-06,-0.22687747,0.022924902
1.28E-06,-0.54308301,0.038735177
1.28E-06,-0.22687747,0.030830039
1.28E-06,-0.22687747,0.022924902
1.28E-06,-0.38498023,0.015019763
1.28E-06,-0.0687747,0.022924902
1.28E-06,-0.38498023,0.015019763
1.28E-06,-0.38498023,0.015019763
1.28E-06,-0.0687747,0.015019763
1.28E-06,-0.38498023,0.007114625
1.29E-06,-0.22687747,0.022924902
1.29E-06,-0.54308301,0.022924902
1.29E-06,-0.54308301,0.015019763
1.29E-06,-0.0687747,0.046640318
1.29E-06,-0.38498023,0.022924902
1.29E-06,-0.22687747,0.030830039
1.29E-06,-0.22687747,0.022924902
