t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0.0115854,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277,0.19810277,-0.039051384,0.11905138
0.01158555,0.19810277,-0.039051384,0.19810277,0.11905138,-0.039051384,-0.039051384,0.11905138,0.039999999,0.039999999,0.11905138
0.0115857,0.11905138,0.039999999,0.11905138,0.19810277,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277,0.19810277
0.011585851,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,-0.11810277,0.039999999
0.011586001,0.11905138,0.11905138,0.039999999,0.11905138,-0.039051384,-0.039051384,-0.039051384,0.039999999,0.19810277,0.11905138
0.011586151,0.11905138,0.039999999,0.19810277,0.039999999,0.11905138,-0.039051384,-0.039051384,0.039999999,0.039999999,0.11905138
0.011586301,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,-0.039051384,0.11905138,0.039999999
0.011586451,0.039999999,0.19810277,0.039999999,-0.039051384,0.11905138,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138
0.011586602,0.039999999,0.039999999,0.039999999,0.11905138,-0.039051384,0.11905138,0.27715415,-0.11810277,0.11905138,0.039999999
0.011586752,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138
0.011586902,0.11905138,0.11905138,-0.039051384,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999
0.011587052,0.039999999,0.19810277,0.11905138,0.039999999,-0.039051384,0.039999999,0.039999999,0.039999999,0.039999999,0.039999999
0.011587202,0.039999999,0.039999999,-0.039051384,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138
0.011587353,0.11905138,-0.039051384,0.11905138,-0.039051384,0.11905138,0.11905138,-0.039051384,0.039999999,0.039999999,0.11905138
0.011587503,0.039999999,0.039999999,0.11905138,0.19810277,-0.039051384,0.11905138,0.039999999,-0.039051384,0.19810277,0.19810277
0.011587653,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999
0.011587803,0.11905138,-0.039051384,0.19810277,0.039999999,0.039999999,-0.039051384,0.11905138,0.11905138,0.039999999,0.19810277
0.011587953,0.11905138,0.039999999,0.19810277,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999
0.011588104,0.11905138,0.11905138,-0.039051384,0.11905138,0.039999999,0.11905138,-0.039051384,0.039999999,0.039999999,0.19810277
0.011588254,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138
0.011588404,-0.039051384,0.19810277,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277,0.039999999
0.011588554,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.19810277,0.039999999
0.011588704,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138
0.011588855,-0.039051384,0.039999999,0.039999999,-0.039051384,0.039999999,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138
0.011589005,-0.039051384,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138,-0.039051384
0.011589155,-0.039051384,0.19810277,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138,0.039999999,0.11905138,0.11905138
0.011589305,0.039999999,0.19810277,0.039999999,0.039999999,0.039999999,0.19810277,0.039999999,0.11905138,0.039999999,0.11905138
